2025-08-10 00:33:34 | SUCCESS | Database tables created successfully
2025-08-10 00:33:36 | INFO | Database initialized
2025-08-10 00:33:38 | INFO | 🤖 Бот успішно запущений!
2025-08-10 00:34:28 | INFO | New user: 8054595578
2025-08-10 00:35:14 | INFO | New user: 8054595578
2025-08-10 00:36:57 | INFO | New user: 1087968824
2025-08-10 00:48:12 | SUCCESS | Database tables created successfully
2025-08-10 00:55:53 | SUCCESS | Database tables created successfully
2025-08-10 00:55:54 | INFO | Database initialized
2025-08-10 00:55:56 | INFO | 🤖 Бот успешно запущен!
2025-08-10 00:56:20 | INFO | New user: 8054595578
2025-08-10 00:56:28 | ERROR | YouTube search error: name 'InlineKeyboardButton' is not defined
2025-08-10 00:56:31 | ERROR | YouTube search error: name 'InlineKeyboardButton' is not defined
2025-08-10 00:57:02 | INFO | New user: 8054595578
2025-08-10 00:58:25 | SUCCESS | Database tables created successfully
2025-08-10 00:58:27 | INFO | Database initialized
2025-08-10 00:58:29 | INFO | 🤖 Бот успешно запущен!
2025-08-10 01:05:10 | SUCCESS | Database tables created successfully
2025-08-10 01:08:09 | SUCCESS | Database tables created successfully
2025-08-10 01:11:58 | SUCCESS | Database tables created successfully
2025-08-10 01:14:24 | SUCCESS | Database tables created successfully
2025-08-10 01:14:26 | INFO | Database initialized
2025-08-10 01:14:28 | INFO | 🤖 Бот успішно запущений!
2025-08-10 01:14:41 | INFO | New user: 8054595578
2025-08-10 01:14:42 | ERROR | Start error: Object expected as reply markup
2025-08-10 01:14:55 | ERROR | YouTube search error: name 'InlineKeyboardButton' is not defined
2025-08-10 01:15:08 | ERROR | YouTube search error: name 'InlineKeyboardButton' is not defined
2025-08-10 01:15:17 | INFO | New user: 8054595578
2025-08-10 01:15:17 | ERROR | Start error: Object expected as reply markup
2025-08-10 01:21:09 | SUCCESS | Database tables created successfully
2025-08-10 01:23:55 | SUCCESS | Database tables created successfully
2025-08-10 01:25:17 | SUCCESS | Database tables created successfully
2025-08-10 01:25:30 | SUCCESS | Database tables created successfully
2025-08-10 01:25:31 | INFO | Database initialized
2025-08-10 01:25:33 | INFO | 🤖 Бот успішно запущений!
2025-08-10 01:25:45 | INFO | New user: 8054595578
2025-08-10 01:28:17 | INFO | New user: 8054595578
2025-08-10 01:28:46 | INFO | New user: 8054595578
2025-08-10 01:37:12 | SUCCESS | Database tables created successfully
2025-08-10 01:37:13 | INFO | Database initialized
2025-08-10 01:37:15 | INFO | 🤖 Бот успішно запущений!
2025-08-10 01:37:23 | INFO | New user: 8054595578
2025-08-10 01:37:27 | WARNING | Unauthorized admin access attempt by 8054595578
2025-08-10 01:37:48 | INFO | New user: 8054595578
2025-08-10 01:43:24 | SUCCESS | Database tables created successfully
2025-08-10 01:45:12 | SUCCESS | Database tables created successfully
2025-08-10 01:45:13 | INFO | Database initialized
2025-08-10 01:45:15 | INFO | 🤖 Бот успішно запущений!
2025-08-10 01:45:31 | INFO | New user: 8054595578
2025-08-10 01:45:36 | WARNING | Unauthorized access attempt by 8054595578
2025-08-10 01:45:59 | INFO | New user: 8054595578
2025-08-10 01:46:04 | INFO | Help command used by 8054595578
2025-08-10 01:46:06 | WARNING | Unauthorized access attempt by 8054595578
2025-08-10 01:46:28 | INFO | Help command used by 8054595578
2025-08-10 01:53:21 | INFO | New user: 8054595578
2025-08-10 01:53:30 | INFO | New user: 1087968824
2025-08-10 01:55:14 | INFO | Help command used by 5749646489
2025-08-10 01:55:17 | INFO | New user: 5749646489
2025-08-10 02:05:31 | SUCCESS | Database tables created
2025-08-10 02:05:35 | INFO | Database initialized
2025-08-10 02:05:37 | INFO | 🤖 Бот запущений!
2025-08-10 02:06:03 | WARNING | Спроба доступу: 8054595578
2025-08-10 02:13:15 | SUCCESS | Database tables created
